Epoch,CNN 1,CNN 2,CNN L,CNN L2,CNN w/o P,CNN N,CNN N 2,CNN L N,CNN L N 2,LSTM,GRU
1,0.113865115473319,0.114842598051554,0.114195771601993,0.115835972718203,0.124521020683575,0.116527369560072,0.117429342790644,0.118438665735091,0.12033569284938,0.17801982850368,0.334744049873059
2,0.046573883373152,0.046952832947328,0.047154250968127,0.046973550386671,0.052795819635434,0.047942750374486,0.048351091373045,0.048382771515501,0.048883984032243,0.138875722616842,0.220458033464807
3,0.032694267109229,0.033033151428673,0.033280165905021,0.033360172860326,0.038818476028614,0.033720806391147,0.034038842824658,0.034184350584684,0.034354573703034,0.129460469536855,0.196688332064813
4,0.026167214350533,0.026028367156286,0.026535042628588,0.026626830707364,0.031159712122058,0.026795169315774,0.02708861149642,0.027360685260013,0.027410148472623,0.124081683395905,0.18270550097693
5,0.022008203308508,0.021994135071392,0.022488486767629,0.022683917405557,0.026208359567099,0.022613827432933,0.022897579075835,0.023170538136169,0.023339582982562,0.120446059375332,0.173005005171837
6,0.019333275395343,0.019188345427759,0.019652754424256,0.019871564157376,0.022846316828775,0.019852554645879,0.020091619331483,0.020402554235748,0.020472278672618,0.117896886024935,0.165675192168041
7,0.017191578073764,0.017174622671695,0.017636345444039,0.017785418009972,0.02025711226732,0.017702349902885,0.017976854370235,0.018332694952508,0.01830498856786,0.115843590591404,0.159718507387022
8,0.015669044972837,0.015712366488998,0.016035391425753,0.016230992533413,0.018312343279831,0.016024948659686,0.016308253284692,0.016584884904732,0.01666422469114,0.11436728350412,0.154884187432654
9,0.014462196761079,0.014294683938217,0.014831616148017,0.014970849858079,0.016752462491008,0.014812545204204,0.015090807492492,0.015456409141034,0.015448172509144,0.113044516415113,0.150605499335827
10,0.013438037172303,0.01330412186394,0.013755708385421,0.013918037426764,0.01540361210404,0.013804012233179,0.014075514188161,0.014411296319643,0.01446253188623,0.112150318365572,0.147178578308344
11,0.012614994064857,0.012388132844903,0.012907409961913,0.013092883495141,0.014325385593043,0.013042634371017,0.013200233379072,0.013567152115073,0.013424532527562,0.111504298775433,0.143863987026236
12,0.011771994479459,0.011713160402408,0.012180195351373,0.012280231713345,0.013272779247436,0.012203698733701,0.012486865174958,0.012674308327806,0.012784990722253,0.110764644605603,0.141190996961524
13,0.011200418432657,0.011081268179252,0.01155810675541,0.011789928899615,0.012566024011806,0.011771388267325,0.01185007607857,0.012110650314653,0.012181608975067,0.110169274810619,0.138530082567458
14,0.010673281670367,0.010509989099465,0.010956866740381,0.011073622622577,0.011777548090822,0.011125323825938,0.011269465597529,0.011554662297737,0.011558063195284,0.110021979940934,0.136301520893115
15,0.010155257868354,,0.010511980868521,0.010671981508129,0.011111998167427,0.010563416314357,0.010783351513197,0.01112991053508,0.01114224524391,0.109612528576851,0.13423244371582
16,0.009772817370016,,0.010126495669208,0.010249616529669,0.010586049911754,0.010161953321671,0.010339107201585,0.010276295343639,0.010683886237,0.109364766782617,0.132428912755421
17,0.009413273869357,,0.009674179078031,,0.010068297018136,0.009834481921024,0.009995451586674,0.009653073300594,0.010201461724811,0.109138422803464,0.130648429063403
18,,,0.009365777759049,,0.009601207305955,0.009462615105118,,0.009206381508441,0.009953611758449,0.108897648882189,0.128885656851213
19,,,0.009100519493314,,0.009212811686055,0.008768952755244,,0.008868569803463,0.00950575169014,0.108934719837909,0.127375625039451
20,,,,,0.008849915140144,,,0.008619247401446,0.009227716098966,0.108827389706558,0.125965771350553
21,,,,,0.008547240577846,,,0.008581858224226,0.008976117437202,0.108966476859621,0.124585093549466
22,,,,,0.008132688840701,,,,0.008787673159773,0.10890695855371,0.123323285230412
23,,,,,0.007695368266619,,,,0.008245814139646,0.109034213741739,0.122070149755149
24,,,,,0.007401325128144,,,,,0.109217857399867,0.120885002772319
25,,,,,0.007038912817985,,,,,,0.119909413258579
26,,,,,0.00690626405045,,,,,,0.118815131478078
27,,,,,0.006711490155905,,,,,,0.11775378429869
28,,,,,0.00677519086028,,,,,,0.116721229163144
29,,,,,0.006578997973513,,,,,,0.115893428816008
30,,,,,0.006460488408301,,,,,,0.115014448089985
31,,,,,0.006339392806851,,,,,,0.114000853643358
32,,,,,0.006269767249287,,,,,,0.113306853351644
33,,,,,0.006168832193151,,,,,,0.11236044913555
34,,,,,0.006069372933942,,,,,,0.111621109054334
,,,,,,,,,,,0.110858558778976
,,,,,,,,,,,0.110191770470207
,,,,,,,,,,,0.109529638977375
,,,,,,,,,,,0.108795289803071
,,,,,,,,,,,0.108024661921809
,,,,,,,,,,,0.107376406958119
,,,,,,,,,,,0.106721510353175
,,,,,,,,,,,0.106108106067266
,,,,,,,,,,,0.105524774153446
,,,,,,,,,,,0.104883415792488
,,,,,,,,,,,0.104261979201041
